date,title,description,url,source,ticker,match_confidence
2025-07-23,ACB: Nghị quyết HĐQT bổ nhiệm lại bà Nguyễn Thị Tuyết Vân giữ chức Phó Tổng giám đốc,Ngân hàng Thương mại Cổ phần Á Châu công bố Nghị quyết HĐQT về việc bổ nhiệm lại Phó TGĐ và thông báo thay đổi nhân sự,https://cafef.vn/du-lieu/ACB-2253451/acb-nghi-quyet-hdqt-bo-nhiem-lai-ba-nguyen-thi-tuyet-van-giu-chuc-pho-tong-giam-doc.chn,cafef,ACB,partial
2025-07-18,ACB: Nghị quyết HĐQT thông qua chiến lược toàn hàng ACB giai đoạn 2025 - 2030,"Ngân hàng Thương mại Cổ phần Á Châu thông báo Nghị quyết HĐQT số 3745, 3747 ngày 16/07/2025  ngày 17/07/2025",https://cafef.vn/du-lieu/ACB-2248690/acb-nghi-quyet-hdqt-thong-qua-chien-luoc-toan-hang-acb-giai-doan-2025-2030.chn,cafef,ACB,partial
2025-07-01,ACB: Quyết định của NHNN về việc sửa đổi nội dung về vốn điều lệ tại Giấy phép thành lập và hoạt động,Ngân hàng Thương mại Cổ phần Á Châu công bố Quyết định của NHNN về việc sửa đổi nội dung về vốn điều lệ tại Giấy phép thành lập và hoạt động,https://cafef.vn/du-lieu/ACB-2235581/acb-quyet-dinh-cua-nhnn-ve-viec-sua-doi-noi-dung-ve-von-dieu-le-tai-giay-phep-thanh-lap-va-hoat-dong.chn,cafef,ACB,partial
2025-06-02,ACB: Nghị quyết HĐQT về phương án phát hành trái phiếu riêng lẻ lần 2.2025,Ngân hàng Thương mại Cổ phần Á Châu công bố Nghị quyết HĐQT về phương án phát hành trái phiếu riêng lẻ lần 2.2025,https://cafef.vn/du-lieu/ACB-2212106/acb-nghi-quyet-hdqt-ve-phuong-an-phat-hanh-trai-phieu-rieng-le-lan-22025.chn,cafef,ACB,partial
2025-05-20,ACB: Các Nghị quyết HĐQT giữa ACB với ACBS và ACBL,Ngân hàng Thương mại Cổ phần Á Châu công bố các Nghị quyết HĐQT giữa ACB với ACBS và ACBL,https://cafef.vn/du-lieu/ACB-2203460/acb-cac-nghi-quyet-hdqt-giua-acb-voi-acbs-va-acbl.chn,cafef,ACB,partial
2025-05-16,ACB: Nghị quyết HĐQT về việc mua lại trước hạn toàn bộ trái phiếu phát hành riêng lẻ năm 2024,Ngân hàng Thương mại Cổ phần Á Châu công bố Nghị quyết HĐQT về việc mua lại trước hạn toàn bộ trái phiếu phát hành riêng lẻ năm 2024,https://cafef.vn/du-lieu/ACB-2198990/acb-nghi-quyet-hdqt-ve-viec-mua-lai-truoc-han-toan-bo-trai-phieu-phat-hanh-rieng-le-nam-2024.chn,cafef,ACB,partial
2025-05-15,ACB: Thông báo phát hành cổ phiếu để trả cổ tức,Ngân hàng Thương mại Cổ phần Á Châu thông báo phát hành cổ phiếu để trả cổ tức,https://cafef.vn/du-lieu/ACB-2199125/acb-thong-bao-phat-hanh-co-phieu-de-tra-co-tuc.chn,cafef,ACB,partial
2025-05-14,ACB: Thông báo về ngày ĐKCC để thực hiện quyền trả cổ tức năm 2024 bằng tiền và cổ phiếu,Thông báo về ngày đăng ký cuối cùng để thực hiện quyền trả cổ tức năm 2024 bằng tiền và cổ phiếu,https://cafef.vn/du-lieu/ACB-2197652/acb-thong-bao-ve-ngay-dkcc-de-thuc-hien-quyen-tra-co-tuc-nam-2024-bang-tien-va-co-phieu.chn,cafef,ACB,exact
2025-04-24,ACB: Nghị quyết HĐQT về việc tăng vốn điều lệ ACBA,Ngân hàng Thương mại Cổ phần Á Châu thông báo Nghị quyết HĐQT về việc tăng vốn điều lệ ACBA,https://cafef.vn/du-lieu/ACB-2190171/acb-nghi-quyet-hdqt-ve-viec-tang-von-dieu-le-acba.chn,cafef,ACB,partial
2025-04-21,ACB: Thông báo nhận được quyết định về việc nộp thuế và các nghĩa vụ bổ sung năm 2023,Ngân hàng Thương mại Cổ phần Á Châu thông báo nhận được quyết định về việc nộp thuế và các nghĩa vụ bổ sung năm 2023,https://cafef.vn/du-lieu/ACB-2183995/acb-thong-bao-nhan-duoc-quyet-dinh-ve-viec-nop-thue-va-cac-nghia-vu-bo-sung-nam-2023.chn,cafef,ACB,partial
2025-04-15,ACB: Nghị quyết HĐQT triển khai phương án phát hành cổ phiếu để trả cổ tức năm 2024,Ngân hàng Thương mại Cổ phần Á Châu thông báo Nghị quyết HĐQT số 1971 ngày 14/04/2025,https://cafef.vn/du-lieu/ACB-2173431/acb-nghi-quyet-hdqt-trien-khai-phuong-an-phat-hanh-co-phieu-de-tra-co-tuc-nam-2024.chn,cafef,ACB,partial
