model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,horizon,n_train,n_test,n_features,train_start,train_end,test_start,test_end,variant,ticker,lag_days
Random_Forest,Config_LLM,0.5387931034482759,0.5294117647058824,0.975,0.40814915480533104,0.43046875,0.5232142857142857,10d,930,232,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_non_irrelevant_per_ticker,SSI,0
Logistic_Regression,Config_Hybrid,0.5603448275862069,0.5412844036697247,0.9833333333333333,0.4443505212735982,0.6351190476190477,0.5452380952380952,10d,930,232,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_non_irrelevant_per_ticker,SSI,0
Random_Forest,Config_Hybrid,0.5043103448275862,0.6470588235294118,0.09166666666666666,0.40445099220964753,0.5178943452380953,0.519047619047619,10d,930,232,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_non_irrelevant_per_ticker,SSI,0
Logistic_Regression,Config_A,0.5652173913043478,0.7368421052631579,0.12844036697247707,0.4587725903614458,0.5617560087952082,0.5435590264614452,20d,922,230,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29,relevant_non_irrelevant_per_ticker,SSI,0
Random_Forest,Config_A,0.5130434782608696,0.4482758620689655,0.11926605504587157,0.42028985507246375,0.6090681628629919,0.4935173250435969,20d,922,230,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29,relevant_non_irrelevant_per_ticker,SSI,0
Logistic_Regression,Config_LLM,0.508695652173913,0.4900990099009901,0.908256880733945,0.4391333434040441,0.6290090226704073,0.5285086056562287,20d,922,230,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29,relevant_non_irrelevant_per_ticker,SSI,0
Random_Forest,Config_LLM,0.4956521739130435,0.4830917874396135,0.9174311926605505,0.4136779184247539,0.4430586094472666,0.5165668359996968,20d,922,230,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29,relevant_non_irrelevant_per_ticker,SSI,0
Logistic_Regression,Config_Hybrid,0.6130434782608696,0.578125,0.6788990825688074,0.6126847174131047,0.6324209568579877,0.6163090454166351,20d,922,230,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29,relevant_non_irrelevant_per_ticker,SSI,0
Random_Forest,Config_Hybrid,0.5608695652173913,0.6333333333333333,0.1743119266055046,0.47936977520787105,0.6414436272651453,0.5417014178482068,20d,922,230,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29,relevant_non_irrelevant_per_ticker,SSI,0
Logistic_Regression,Config_A,0.5213675213675214,0.43137254901960786,0.20952380952380953,0.46153846153846156,0.49605020302694725,0.492358803986711,1d,937,234,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant_per_ticker,VCB,0
