model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,horizon,n_train,n_test,n_features,train_start,train_end,test_start,test_end,variant,direct_only,lag_days
Logistic_Regression,Config_LLM,0.5284900284900285,0.43243243243243246,0.2057877813504823,0.4643012760659819,0.46454798891456484,0.49547701087984475,1d,2811,702,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25,focused_material_lag1,False,1
Random_Forest,Config_LLM,0.49715099715099714,0.4326923076923077,0.4340836012861736,0.49070110139899664,0.505234331954507,0.49069908964564435,1d,2811,702,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25,focused_material_lag1,False,1
Logistic_Regression,Config_Hybrid,0.5056980056980057,0.4256198347107438,0.3311897106109325,0.48237899035917753,0.4950617182424486,0.4878454946916555,1d,2811,702,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25,focused_material_lag1,False,1
Random_Forest,Config_Hybrid,0.5427350427350427,0.4734042553191489,0.2861736334405145,0.5010086471285111,0.5351477372718974,0.5164883512471115,1d,2811,702,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25,focused_material_lag1,False,1
Logistic_Regression,Config_A,0.5236051502145923,0.44155844155844154,0.3333333333333333,0.4965643431374457,0.4896805202148713,0.5025445292620865,5d,2802,699,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19,focused_material_lag1,False,1
Random_Forest,Config_A,0.5679542203147353,0.5117647058823529,0.28431372549019607,0.5189987057729817,0.5650393321026459,0.5365588983685077,5d,2802,699,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19,focused_material_lag1,False,1
Logistic_Regression,Config_LLM,0.5550786838340487,0.48743718592964824,0.31699346405228757,0.5179470690630092,0.5028605165560711,0.5287257396597316,5d,2802,699,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19,focused_material_lag1,False,1
Random_Forest,Config_LLM,0.46494992846924177,0.396969696969697,0.42810457516339867,0.460568018620314,0.4652663440270086,0.4608716260040912,5d,2802,699,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19,focused_material_lag1,False,1
Logistic_Regression,Config_Hybrid,0.5321888412017167,0.44559585492227977,0.28104575163398693,0.4904759463309266,0.48058341233015683,0.5043905602953649,5d,2802,699,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19,focused_material_lag1,False,1
Random_Forest,Config_Hybrid,0.5493562231759657,0.47783251231527096,0.31699346405228757,0.5134043902665408,0.5420554141928188,0.5236366811355586,5d,2802,699,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19,focused_material_lag1,False,1
Logistic_Regression,Config_A,0.46551724137931033,0.37185929648241206,0.23052959501557632,0.4290049400141143,0.4604029075804777,0.4485981308411215,10d,2790,696,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12,focused_material_lag1,False,1
Random_Forest,Config_A,0.5402298850574713,0.5027027027027027,0.2897196261682243,0.5032075589539522,0.5463966770508827,0.5221931464174455,10d,2790,696,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12,focused_material_lag1,False,1
Logistic_Regression,Config_LLM,0.5344827586206896,0.49142857142857144,0.26791277258566976,0.4925835253456221,0.5424755970924194,0.5152897196261682,10d,2790,696,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12,focused_material_lag1,False,1
Random_Forest,Config_LLM,0.5172413793103449,0.47648902821316613,0.4735202492211838,0.5140957446808511,0.5222429906542055,0.5140934579439252,10d,2790,696,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12,focused_material_lag1,False,1
Logistic_Regression,Config_Hybrid,0.5114942528735632,0.44808743169398907,0.2554517133956386,0.4712569712569713,0.5270695742471444,0.4930591900311526,10d,2790,696,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12,focused_material_lag1,False,1
Random_Forest,Config_Hybrid,0.5632183908045977,0.5502958579881657,0.2897196261682243,0.5212815059504955,0.5813042575285566,0.5435264797507788,10d,2790,696,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12,focused_material_lag1,False,1
Logistic_Regression,Config_A,0.5072463768115942,0.4692982456140351,0.3282208588957055,0.4873296562092989,0.5316439695274051,0.49790163823906153,20d,2766,690,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29,focused_material_lag1,False,1
Random_Forest,Config_A,0.5420289855072464,0.5454545454545454,0.18404907975460122,0.4702417975431504,0.629820333041192,0.523343221195982,20d,2766,690,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29,focused_material_lag1,False,1
Logistic_Regression,Config_LLM,0.5028985507246376,0.4297520661157025,0.15950920245398773,0.4325154477509945,0.4590313827277017,0.48497438144677407,20d,2766,690,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29,focused_material_lag1,False,1
Random_Forest,Config_LLM,0.463768115942029,0.43037974683544306,0.4171779141104294,0.46116049945546184,0.43948459515944177,0.4613362098024675,20d,2766,690,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29,focused_material_lag1,False,1
Logistic_Regression,Config_Hybrid,0.5173913043478261,0.4827586206896552,0.3006134969325153,0.4896030245746692,0.4966459920447651,0.5060759792354884,20d,2766,690,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29,focused_material_lag1,False,1
Random_Forest,Config_Hybrid,0.5797101449275363,0.6304347826086957,0.2668711656441718,0.5292030567685589,0.6440411582282748,0.5633806377671409,20d,2766,690,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29,focused_material_lag1,False,1
Logistic_Regression,Config_A,0.51994301994302,0.459375,0.47266881028938906,0.514981661175612,0.5269857978141628,0.5151067836613186,1d,2811,702,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25,focused_direct_material_lag1,True,1
Random_Forest,Config_A,0.5541310541310541,0.4941860465116279,0.2733118971061093,0.5060594411961074,0.5383220532725883,0.5254027516221084,1d,2811,702,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25,focused_direct_material_lag1,True,1
Logistic_Regression,Config_LLM,0.5270655270655271,0.4233576642335766,0.1864951768488746,0.45582411835026904,0.4782320869071801,0.492224570521624,1d,2811,702,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25,focused_direct_material_lag1,True,1
Random_Forest,Config_LLM,0.5085470085470085,0.4472049689440994,0.4630225080385852,0.5037527430984565,0.4954564518383895,0.5038897706433335,1d,2811,702,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25,focused_direct_material_lag1,True,1
Logistic_Regression,Config_Hybrid,0.5071225071225072,0.4329501915708812,0.3633440514469453,0.48961975524475526,0.4894038700339635,0.49241371370301235,1d,2811,702,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25,focused_direct_material_lag1,True,1
Random_Forest,Config_Hybrid,0.5527065527065527,0.49142857142857144,0.2765273311897106,0.5059307673686758,0.5310523762140115,0.5244529239068758,1d,2811,702,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25,focused_direct_material_lag1,True,1
Logistic_Regression,Config_A,0.5236051502145923,0.44155844155844154,0.3333333333333333,0.4965643431374457,0.4896805202148713,0.5025445292620865,5d,2802,699,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19,focused_direct_material_lag1,True,1
Random_Forest,Config_A,0.5679542203147353,0.5117647058823529,0.28431372549019607,0.5189987057729817,0.5650393321026459,0.5365588983685077,5d,2802,699,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19,focused_direct_material_lag1,True,1
Logistic_Regression,Config_LLM,0.547925608011445,0.47126436781609193,0.2679738562091503,0.4987200435729848,0.526305942224218,0.5169385820485956,5d,2802,699,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19,focused_direct_material_lag1,True,1
Random_Forest,Config_LLM,0.49642346208869814,0.43154761904761907,0.4738562091503268,0.4930524650150818,0.5091220542500291,0.4939255600459013,5d,2802,699,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19,focused_direct_material_lag1,True,1
Logistic_Regression,Config_Hybrid,0.530758226037196,0.44148936170212766,0.27124183006535946,0.486600265128444,0.48329425069434045,0.5020331287731378,5d,2802,699,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19,focused_direct_material_lag1,True,1
Random_Forest,Config_Hybrid,0.5636623748211731,0.5027322404371585,0.3006535947712418,0.5203722826270357,0.5504664970313824,0.5345507159606845,5d,2802,699,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19,focused_direct_material_lag1,True,1
Logistic_Regression,Config_A,0.46551724137931033,0.37185929648241206,0.23052959501557632,0.4290049400141143,0.4604029075804777,0.4485981308411215,10d,2790,696,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12,focused_direct_material_lag1,True,1
Random_Forest,Config_A,0.5402298850574713,0.5027027027027027,0.2897196261682243,0.5032075589539522,0.5463966770508827,0.5221931464174455,10d,2790,696,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12,focused_direct_material_lag1,True,1
Logistic_Regression,Config_LLM,0.5186781609195402,0.4578313253012048,0.2367601246105919,0.47097462193835293,0.5431734164070612,0.49838006230529597,10d,2790,696,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12,focused_direct_material_lag1,True,1
Random_Forest,Config_LLM,0.5201149425287356,0.4786885245901639,0.45482866043613707,0.5152111712643582,0.5345503634475597,0.5154143302180685,10d,2790,696,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12,focused_direct_material_lag1,True,1
Logistic_Regression,Config_Hybrid,0.5057471264367817,0.43352601156069365,0.2336448598130841,0.46028511401855676,0.5265379023883697,0.4861557632398754,10d,2790,696,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12,focused_direct_material_lag1,True,1
Random_Forest,Config_Hybrid,0.5603448275862069,0.5483870967741935,0.26479750778816197,0.511540860885839,0.6022554517133956,0.5390654205607477,10d,2790,696,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12,focused_direct_material_lag1,True,1
Logistic_Regression,Config_A,0.5072463768115942,0.4692982456140351,0.3282208588957055,0.4873296562092989,0.5316439695274051,0.49790163823906153,20d,2766,690,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29,focused_direct_material_lag1,True,1
Random_Forest,Config_A,0.5420289855072464,0.5454545454545454,0.18404907975460122,0.4702417975431504,0.629820333041192,0.523343221195982,20d,2766,690,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29,focused_direct_material_lag1,True,1
Logistic_Regression,Config_LLM,0.48840579710144927,0.3902439024390244,0.147239263803681,0.417323136029702,0.45370542034652467,0.47059765387986247,20d,2766,690,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29,focused_direct_material_lag1,True,1
Random_Forest,Config_LLM,0.4405797101449275,0.40445859872611467,0.3895705521472393,0.4376266891891892,0.4143632441178453,0.4379171442054878,20d,2766,690,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29,focused_direct_material_lag1,True,1
Logistic_Regression,Config_Hybrid,0.508695652173913,0.467005076142132,0.2822085889570552,0.4781252579700186,0.4983904132677138,0.4968735252477584,20d,2766,690,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29,focused_direct_material_lag1,True,1
Random_Forest,Config_Hybrid,0.5971014492753624,0.6666666666666666,0.294478527607362,0.5515080664016834,0.6556537787366009,0.5813051978696151,20d,2766,690,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29,focused_direct_material_lag1,True,1
