segment_type,segment_name,n_samples,keyword,direction,n_occurrences,n_excluded,chi_statistic,chi_p_raw,chi_p_adj,chi_test_used,mw_statistic,mw_p_raw,mw_p_adj,logit_coef,logit_ci_lower,logit_ci_upper,logit_p_raw,logit_p_adj,significant_chi,significant_mw,significant_logit,significant_any
sector,Consumer,170,ký kết hợp đồng,positive,9,0,0.5454545454545454,0.503038747574126,1.0,fisher_exact,3498.0,0.4141375892340492,0.6525804436415321,,,,,,False,False,False,False
sector,Consumer,170,mở rộng thị trường,positive,1,0,inf,0.47058823529411753,1.0,fisher_exact,3645.0,0.29423562602358366,0.5901852161479463,,,,,,False,False,False,False
sector,Consumer,170,đầu tư mới,positive,1,0,0.0,1.0,1.0,fisher_exact,3560.0,0.3518411865497372,0.5901852161479463,,,,,,False,False,False,False
sector,Consumer,170,hợp tác chiến lược,positive,1,0,0.0,1.0,1.0,fisher_exact,3560.0,0.3518411865497372,0.5901852161479463,,,,,,False,False,False,False
sector,Consumer,170,lợi nhuận giảm,negative,5,0,0.7435897435897436,1.0,1.0,fisher_exact,3568.5,0.7409005540316411,0.856151751325452,,,,,,False,False,False,False
sector,Consumer,170,thua lỗ,negative,1,0,inf,0.47058823529411753,1.0,fisher_exact,3645.0,0.29423562602358366,0.5901852161479463,,,,,,False,False,False,False
sector,Consumer,170,sụt giảm,negative,6,0,inf,0.009799949792395799,0.5095973892045815,fisher_exact,3870.0,0.0084896602691407,0.4414623339953164,,,,,,False,False,False,False
sector,Consumer,170,lỗ lớn,negative,1,0,0.0,1.0,1.0,fisher_exact,3560.0,0.3518411865497372,0.5901852161479463,,,,,,False,False,False,False
sector,Consumer,170,lỗ lũy kế,negative,1,0,inf,0.47058823529411753,1.0,fisher_exact,3645.0,0.29423562602358366,0.5901852161479463,,,,,,False,False,False,False
sector,Consumer,170,lao dốc,negative,3,0,2.282051282051282,0.6017105066878824,1.0,fisher_exact,3650.0,0.4980256995723461,0.7121857514088983,,,,,,False,False,False,False
sector,Consumer,170,giảm sâu,negative,4,0,3.4675324675324677,0.3433390788906002,1.0,fisher_exact,3696.5,0.2536838773581592,0.5901852161479463,,,,,,False,False,False,False
sector,Consumer,170,giảm mạnh,negative,7,0,7.216216216216216,0.05246808926053023,1.0,fisher_exact,3830.0,0.03741218216563867,0.5901852161479463,,,,,,False,False,False,False
sector,Consumer,170,không chia cổ tức,negative,1,0,inf,0.47058823529411753,1.0,fisher_exact,3645.0,0.29423562602358366,0.5901852161479463,,,,,,False,False,False,False
sector,Consumer,170,đóng cửa,negative,3,0,0.5569620253164557,1.0,1.0,fisher_exact,3565.5,0.6416254852084153,0.7759191914148279,,,,,,False,False,False,False
sector,Consumer,170,bị phạt,negative,3,0,0.5569620253164557,1.0,1.0,fisher_exact,3564.0,0.6269989611134761,0.7759191914148279,,,,,,False,False,False,False
sector,Consumer,170,vi phạm,negative,10,0,0.7368421052631579,0.750928705938539,1.0,fisher_exact,3541.5,0.6570200868736185,0.7764782844870036,,,,,,False,False,False,False
sector,Consumer,170,cảnh báo,negative,1,0,inf,0.47058823529411753,1.0,fisher_exact,3645.0,0.29423562602358366,0.5901852161479463,,,,,,False,False,False,False
sector,Consumer,170,đại hội cổ đông,neutral,3,0,inf,0.10213316095669038,1.0,fisher_exact,3735.0,0.06559898813930502,0.5901852161479463,,,,,,False,False,False,False
sector,Consumer,170,họp HĐQT,neutral,7,0,1.5263157894736843,0.707775309720716,1.0,fisher_exact,3664.0,0.5647056067099687,0.752940808946625,,,,,,False,False,False,False
sector,Consumer,170,thay CEO,neutral,1,0,inf,0.47058823529411753,1.0,fisher_exact,3645.0,0.29423562602358366,0.5901852161479463,,,,,,False,False,False,False
sector,Consumer,170,mua lại,neutral,14,0,1.1419064153439151,0.28524985251153095,1.0,chi_square,3804.5,0.18157180970108944,0.5901852161479463,,,,,,False,False,False,False
sector,Consumer,170,niêm yết thêm,neutral,1,0,inf,0.47058823529411753,1.0,fisher_exact,3645.0,0.29423562602358366,0.5901852161479463,,,,,,False,False,False,False
sector,Consumer,170,thoái vốn,neutral,3,0,2.282051282051282,0.6017105066878824,1.0,fisher_exact,3650.0,0.4980256995723461,0.7121857514088983,,,,,,False,False,False,False
sector,Consumer,170,lợi nhuận sau thuế tăng,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,lợi nhuận cải thiện,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,phát hành thưởng,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,cải thiện tài chính,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,hệ số an toàn vốn,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,dòng tiền dương,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,tiền mặt dồi dào,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,dự án mới,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,thắng thầu,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
