relevance_variant,unit,model,n_test,ba_a,ba_hybrid,delta_hybrid_minus_a,b,c,n_discordant,p_mid
direct_indirect,2month,XGBoost,150,0.7205801860974275,0.7090859332238643,-0.011494252873563204,5,3,8,0.5078125000000001
direct_indirect,2week,LightGBM,720,0.7066666666666667,0.7173737373737373,0.010707070707070665,14,21,35,0.24298495403490966
direct_indirect,2week,Logistic_Regression,720,0.6975757575757575,0.6987878787878787,0.00121212121212122,1,1,2,0.4999999999999998
direct_indirect,2week,Random_Forest,720,0.6923232323232323,0.6907070707070707,-0.0016161616161616266,28,24,52,0.5831321542611763
direct_indirect,2week,XGBoost,720,0.6953535353535354,0.6850505050505051,-0.010303030303030258,55,40,95,0.12534569718849234
direct_indirect,month,LightGBM,330,0.652780487804878,0.6599024390243902,0.0071219512195122014,13,14,27,0.8505540192127226
direct_indirect,month,Logistic_Regression,330,0.6051707317073171,0.6051707317073171,0.0,1,1,2,0.4999999999999998
direct_indirect,month,Random_Forest,330,0.6753170731707316,0.6615609756097561,-0.013756097560975511,11,6,17,0.23788452148437497
direct_indirect,month,XGBoost,330,0.6205853658536585,0.6221463414634146,0.001560975609756099,14,14,28,0.8505540192127231
direct_indirect,quarter,LightGBM,90,0.7047566976489885,0.7124111536358666,0.007654455986878084,3,3,6,0.6875
direct_indirect,quarter,Logistic_Regression,90,0.6394204483324221,0.6317659923455441,-0.007654455986877973,1,1,2,0.4999999999999998
direct_indirect,quarter,Random_Forest,90,0.753143794423182,0.7124111536358666,-0.04073264078731542,8,5,13,0.4239501953124999
direct_indirect,quarter,XGBoost,90,0.6853471842536906,0.693821760524877,0.008474576271186418,2,3,5,0.6875000000000002
indirect_only,1week,LightGBM,1440,0.696219027255284,0.696219027255284,0.0,0,0,0,1.0
indirect_only,1week,Logistic_Regression,1440,0.675595317913297,0.675595317913297,0.0,0,0,0,1.0
indirect_only,1week,Random_Forest,1440,0.6298411103986503,0.6459653451466383,0.016124234747987964,21,38,59,0.027340133868077945
indirect_only,1week,XGBoost,1440,0.6673192591165865,0.6673192591165865,0.0,0,0,0,1.0
indirect_only,2month,LightGBM,150,0.69896004378763,0.69896004378763,0.0,0,0,0,1.0
indirect_only,2month,Logistic_Regression,150,0.5290093048713739,0.5290093048713739,0.0,0,0,0,1.0
indirect_only,2month,Random_Forest,150,0.7162014230979749,0.7241379310344828,0.007936507936507908,4,5,9,0.7539062500000002
indirect_only,2month,XGBoost,150,0.7205801860974275,0.7205801860974275,0.0,0,0,0,1.0
indirect_only,2week,LightGBM,720,0.7066666666666667,0.7066666666666667,0.0,0,0,0,1.0
indirect_only,2week,Logistic_Regression,720,0.6975757575757575,0.6975757575757575,0.0,0,0,0,1.0
indirect_only,2week,Random_Forest,720,0.6923232323232323,0.6755555555555555,-0.016767676767676876,31,18,49,0.0649086470722722
indirect_only,2week,XGBoost,720,0.6953535353535354,0.6953535353535354,0.0,0,0,0,1.0
indirect_only,month,LightGBM,330,0.652780487804878,0.652780487804878,0.0,0,0,0,1.0
indirect_only,month,Logistic_Regression,330,0.6051707317073171,0.634341463414634,0.029170731707316988,33,36,69,0.7202027723528616
indirect_only,month,Random_Forest,330,0.6753170731707316,0.6646829268292683,-0.010634146341463313,12,7,19,0.26317596435546875
indirect_only,month,XGBoost,330,0.6205853658536585,0.6205853658536585,0.0,0,0,0,1.0
indirect_only,quarter,LightGBM,90,0.7047566976489885,0.7047566976489885,0.0,0,0,0,1.0
indirect_only,quarter,Logistic_Regression,90,0.6394204483324221,0.6394204483324221,0.0,0,0,0,1.0
indirect_only,quarter,Random_Forest,90,0.753143794423182,0.6946418808091853,-0.0585019136139967,8,2,10,0.06542968749999994
indirect_only,quarter,XGBoost,90,0.6853471842536906,0.6853471842536906,0.0,0,0,0,1.0
