universe,relevance_variant,unit,model,n_test,ba_a,ba_hybrid,delta_hybrid_minus_a,b,c,n_discordant,p_mid
HOSE80,direct,2week,Random_Forest,1920,0.6958711609614909,0.7041607194117079,0.00828955845021695,63,68,131,0.6635853603383617
HOSE80,direct,2week,XGBoost,1920,0.6923094221715429,0.7041044988365648,0.011795076665021886,97,116,213,0.19388944511670814
HOSE80,direct,month,LightGBM,880,0.682225052932367,0.6841501270950603,0.0019250741626932744,38,43,81,0.5811144541766471
HOSE80,direct,month,Logistic_Regression,880,0.6290746446789344,0.6268856259216543,-0.002189018757280059,36,27,63,0.2604354765766535
HOSE80,direct,month,Random_Forest,880,0.6844083337636777,0.6961682130377154,0.011759879274037655,29,38,67,0.2749903961710004
HOSE80,direct,month,XGBoost,880,0.6686720717929298,0.6829566384934502,0.014284566700520474,51,62,113,0.3028775526303254
HOSE80,direct,quarter,LightGBM,240,0.6612001017035343,0.6510297482837528,-0.010170353419781453,8,6,14,0.6072387695312499
HOSE80,direct,quarter,Logistic_Regression,240,0.6159420289855072,0.6453089244851259,0.029366895499618684,5,18,23,0.0066107511520385655
HOSE80,direct,quarter,Random_Forest,240,0.6509026188660056,0.6523010424612256,0.0013984235952199109,8,7,15,0.8036193847656248
HOSE80,direct,quarter,XGBoost,240,0.6496313246885329,0.6365369946605645,-0.013094330027968448,11,8,19,0.5034446716308593
HOSE80,direct_indirect,1week,LightGBM,3920,0.7130821607389503,0.712677507769337,-0.0004046529696132284,115,109,224,0.6892488812295212
HOSE80,direct_indirect,1week,Logistic_Regression,3920,0.681427507769337,0.6828087232389503,0.0013812154696132284,1,9,10,0.011718749999999997
HOSE80,direct_indirect,1week,Random_Forest,3920,0.6515047695096685,0.6472343318370166,-0.0042704376726518944,87,97,184,0.4623030339182512
HOSE80,direct_indirect,1week,XGBoost,3920,0.6959761308701657,0.7035916997582873,0.007615568888121538,237,261,498,0.28263681089362724
HOSE80,direct_indirect,2month,LightGBM,400,0.6965876752041278,0.6687943828293306,-0.027793292374797218,21,13,34,0.1754652489908039
HOSE80,direct_indirect,2month,Logistic_Regression,400,0.7276922258570706,0.6159871273172159,-0.11170509853985466,84,42,126,0.00017009447829625113
HOSE80,direct_indirect,2month,Random_Forest,400,0.6834490278996782,0.6915875422218676,0.008138514322189372,14,20,34,0.3105046590790153
HOSE80,direct_indirect,2month,XGBoost,400,0.7045134179100508,0.6819330301337801,-0.022580387776270694,28,20,48,0.25286973016760333
HOSE80,direct_indirect,2week,LightGBM,1920,0.7250522851348831,0.7304362319779986,0.005383946843115495,63,63,126,0.9290596866317957
HOSE80,direct_indirect,2week,Logistic_Regression,1920,0.6856608430969733,0.7114865910621191,0.025825747965145807,95,145,240,0.001231913943304821
HOSE80,direct_indirect,2week,Random_Forest,1920,0.6958711609614909,0.6931381795910052,-0.002732981370485721,62,56,118,0.5824937911572249
HOSE80,direct_indirect,2week,XGBoost,1920,0.6923094221715429,0.7057811948128914,0.013471772641348467,98,126,224,0.06170761574218009
HOSE80,direct_indirect,month,LightGBM,880,0.682225052932367,0.683220583088037,0.0009955301556699991,32,35,67,0.7163007601543367
HOSE80,direct_indirect,month,Logistic_Regression,880,0.6290746446789344,0.6260220680632778,-0.0030525766156566103,37,27,64,0.2145391940081785
HOSE80,direct_indirect,month,Random_Forest,880,0.6844083337636777,0.6925160231582692,0.0081076893945915,30,32,62,0.801306492504066
HOSE80,direct_indirect,month,XGBoost,880,0.6686720717929298,0.6779732497891312,0.009301177996201448,50,58,108,0.4436695012023482
