model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,horizon,n_train,n_test,n_features,train_start,train_end,test_start,test_end,variant,lag_days
Logistic_Regression,Config_LLM,0.49137931034482757,0.4608050847457627,0.8430232558139535,0.4549219496654986,0.5158454306899707,0.5263252925032501,10d,4650,1160,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12,material_events_only,0
Random_Forest,Config_LLM,0.5043103448275862,0.45440494590417313,0.5697674418604651,0.5043070294019505,0.514927596417738,0.5108153979488661,10d,4650,1160,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12,material_events_only,0
Logistic_Regression,Config_Hybrid,0.4508620689655172,0.4153846153846154,0.5755813953488372,0.4487971062817825,0.4522515527950311,0.4632565361837354,10d,4650,1160,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12,material_events_only,0
Random_Forest,Config_Hybrid,0.5206896551724138,0.4621212121212121,0.4728682170542636,0.5158481365377917,0.5266472868217055,0.5159372141171938,10d,4650,1160,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12,material_events_only,0
Logistic_Regression,Config_A,0.5121739130434783,0.45787545787545786,0.4854368932038835,0.5092345153847734,0.49981499885329866,0.5096475804602094,20d,4610,1150,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29,material_events_only,0
Random_Forest,Config_A,0.5130434782608696,0.45098039215686275,0.40194174757281553,0.5013642797191535,0.5202935555385675,0.502545676936014,20d,4610,1150,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29,material_events_only,0
Logistic_Regression,Config_LLM,0.47391304347826085,0.45802238805970147,0.9533980582524272,0.38512510925462934,0.5340906658512345,0.5192187141655836,20d,4610,1150,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29,material_events_only,0
Random_Forest,Config_LLM,0.48869565217391303,0.44065040650406506,0.5262135922330097,0.48854095756750626,0.4861264429324975,0.4922406543842214,20d,4610,1150,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29,material_events_only,0
Logistic_Regression,Config_Hybrid,0.4747826086956522,0.44331210191082804,0.6757281553398058,0.4656923076923077,0.48119256937543,0.49376958948092653,20d,4610,1150,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29,material_events_only,0
Random_Forest,Config_Hybrid,0.5434782608695652,0.48936170212765956,0.44660194174757284,0.5338827662079482,0.5460347068266952,0.5343245929210305,20d,4610,1150,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29,material_events_only,0
Logistic_Regression,Config_A,0.5196581196581197,0.45454545454545453,0.4775828460038986,0.5147220319769501,0.5332348289970656,0.5150471307645064,1d,4685,1170,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25,direct_material_only,0
Random_Forest,Config_A,0.5307692307692308,0.4533678756476684,0.341130604288499,0.5041680207555778,0.5133233048798217,0.5099869155384656,1d,4685,1170,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25,direct_material_only,0
Logistic_Regression,Config_LLM,0.4752136752136752,0.4289732770745429,0.594541910331384,0.4740934008011807,0.48224548348717217,0.48829074207588985,1d,4685,1170,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25,direct_material_only,0
Random_Forest,Config_LLM,0.48376068376068376,0.42504118616144976,0.5029239766081871,0.4828161592505855,0.4883278295518943,0.48586077064808136,1d,4685,1170,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25,direct_material_only,0
Logistic_Regression,Config_Hybrid,0.523931623931624,0.465625,0.580896686159844,0.5238310959067258,0.5279031334466726,0.5301743704771823,1d,4685,1170,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25,direct_material_only,0
Random_Forest,Config_Hybrid,0.5393162393162393,0.4733606557377049,0.4502923976608187,0.5294996265870052,0.5286656519533233,0.5295602018745493,1d,4685,1170,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25,direct_material_only,0
Logistic_Regression,Config_A,0.49871244635193135,0.4083333333333333,0.3951612903225806,0.48516236046201905,0.47009559284439945,0.48532354501181346,5d,4670,1165,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19,direct_material_only,0
Random_Forest,Config_A,0.5218884120171674,0.4419047619047619,0.46774193548387094,0.5144703772346798,0.5294327715897584,0.5148874101933555,5d,4670,1165,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19,direct_material_only,0
Logistic_Regression,Config_LLM,0.527038626609442,0.42028985507246375,0.2923387096774194,0.4873902873949191,0.49888947152707463,0.4966925237475288,5d,4670,1165,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19,direct_material_only,0
Random_Forest,Config_LLM,0.5021459227467812,0.43159609120521175,0.5342741935483871,0.5010338207059519,0.5081956097208158,0.506300026520083,5d,4670,1165,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19,direct_material_only,0
Logistic_Regression,Config_Hybrid,0.455793991416309,0.38613861386138615,0.4717741935483871,0.4541978753465715,0.4720002169824967,0.4578601909445972,5d,4670,1165,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19,direct_material_only,0
Random_Forest,Config_Hybrid,0.5236051502145923,0.4460694698354662,0.49193548387096775,0.5183228404704915,0.5235817782921066,0.5195103428323449,5d,4670,1165,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19,direct_material_only,0
Logistic_Regression,Config_A,0.4603448275862069,0.391304347826087,0.38372093023255816,0.4525975533637479,0.4448757763975155,0.4527300303336704,10d,4650,1160,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12,direct_material_only,0
Random_Forest,Config_A,0.4939655172413793,0.43486238532110094,0.45930232558139533,0.4902526502864577,0.5141797871828206,0.490520728008089,10d,4650,1160,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12,direct_material_only,0
Logistic_Regression,Config_LLM,0.475,0.4396887159533074,0.6569767441860465,0.4686307561428569,0.4994237204487457,0.49308464538494867,10d,4650,1160,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12,direct_material_only,0
Random_Forest,Config_LLM,0.5094827586206897,0.45813586097946285,0.562015503875969,0.5094386460137988,0.5154226250662044,0.5147034041118975,10d,4650,1160,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12,direct_material_only,0
Logistic_Regression,Config_Hybrid,0.4603448275862069,0.4174174174174174,0.5387596899224806,0.46015064871728534,0.458029394771053,0.46813760893639556,10d,4650,1160,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12,direct_material_only,0
Random_Forest,Config_Hybrid,0.5258620689655172,0.4680451127819549,0.48255813953488375,0.5214004512938691,0.5358692642881218,0.521558572873032,10d,4650,1160,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12,direct_material_only,0
Logistic_Regression,Config_A,0.5121739130434783,0.45787545787545786,0.4854368932038835,0.5092345153847734,0.49981499885329866,0.5096475804602094,20d,4610,1150,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29,direct_material_only,0
Random_Forest,Config_A,0.5130434782608696,0.45098039215686275,0.40194174757281553,0.5013642797191535,0.5202935555385675,0.502545676936014,20d,4610,1150,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29,direct_material_only,0
Logistic_Regression,Config_LLM,0.5121739130434783,0.4771825396825397,0.9339805825242719,0.45482017051288226,0.5005504166348138,0.552029661340876,20d,4610,1150,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29,direct_material_only,0
Random_Forest,Config_LLM,0.4895652173913044,0.4395973154362416,0.5087378640776699,0.48897749320768913,0.48621665010320314,0.49137680605458295,20d,4610,1150,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29,direct_material_only,0
Logistic_Regression,Config_Hybrid,0.47043478260869565,0.43472222222222223,0.6077669902912621,0.4675258025888122,0.4762938613255867,0.48341105420074915,20d,4610,1150,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29,direct_material_only,0
Random_Forest,Config_Hybrid,0.5330434782608696,0.4765957446808511,0.4349514563106796,0.5232286580069869,0.5361287363351426,0.523774940753765,20d,4610,1150,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29,direct_material_only,0
Logistic_Regression,Config_A,0.5196581196581197,0.45454545454545453,0.4775828460038986,0.5147220319769501,0.5332348289970656,0.5150471307645064,1d,4685,1170,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_lag1,1
Random_Forest,Config_A,0.5307692307692308,0.4533678756476684,0.341130604288499,0.5041680207555778,0.5133233048798217,0.5099869155384656,1d,4685,1170,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_lag1,1
Logistic_Regression,Config_LLM,0.4897435897435897,0.44324324324324327,0.6393762183235867,0.4871627321658929,0.4985446874415872,0.5061416860263291,1d,4685,1170,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_lag1,1
Random_Forest,Config_LLM,0.4888888888888889,0.41682974559686886,0.4152046783625731,0.48080416508358664,0.4850136926961408,0.4808139069134022,1d,4685,1170,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_lag1,1
Logistic_Regression,Config_Hybrid,0.47606837606837604,0.43297587131367293,0.6296296296296297,0.47301905466579575,0.5109200364347364,0.49289700659563673,1d,4685,1170,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_lag1,1
Random_Forest,Config_Hybrid,0.5393162393162393,0.47058823529411764,0.40545808966861596,0.5232162095752925,0.5186431324378933,0.524646853053486,1d,4685,1170,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_lag1,1
Logistic_Regression,Config_A,0.49871244635193135,0.4083333333333333,0.3951612903225806,0.48516236046201905,0.47009559284439945,0.48532354501181346,5d,4670,1165,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_lag1,1
Random_Forest,Config_A,0.5218884120171674,0.4419047619047619,0.46774193548387094,0.5144703772346798,0.5294327715897584,0.5148874101933555,5d,4670,1165,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_lag1,1
Logistic_Regression,Config_LLM,0.46866952789699573,0.42857142857142855,0.7439516129032258,0.45383497392001126,0.4975770287863446,0.5042628019673079,5d,4670,1165,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_lag1,1
Random_Forest,Config_LLM,0.47639484978540775,0.4141566265060241,0.5544354838709677,0.4763852048334807,0.49121672935049904,0.48648530546313706,5d,4670,1165,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_lag1,1
Logistic_Regression,Config_Hybrid,0.44635193133047213,0.4122497055359246,0.7056451612903226,0.4328118808144472,0.4985383817927576,0.47987788707266504,5d,4670,1165,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_lag1,1
Random_Forest,Config_Hybrid,0.5012875536480687,0.42342342342342343,0.4737903225806452,0.49646600393236573,0.5052919620039539,0.49773223154443325,5d,4670,1165,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_lag1,1
Logistic_Regression,Config_A,0.4603448275862069,0.391304347826087,0.38372093023255816,0.4525975533637479,0.4448757763975155,0.4527300303336704,10d,4650,1160,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_lag1,1
Random_Forest,Config_A,0.4939655172413793,0.43486238532110094,0.45930232558139533,0.4902526502864577,0.5141797871828206,0.490520728008089,10d,4650,1160,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_lag1,1
Logistic_Regression,Config_LLM,0.4379310344827586,0.4265658747300216,0.7655038759689923,0.40262669855522104,0.4563893302518176,0.4704848572391545,10d,4650,1160,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_lag1,1
Random_Forest,Config_LLM,0.4862068965517241,0.4373040752351097,0.5406976744186046,0.4861931502329135,0.4629225046944966,0.4916221291347681,10d,4650,1160,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_lag1,1
Logistic_Regression,Config_Hybrid,0.4068965517241379,0.4042316258351893,0.7034883720930233,0.37702757976838364,0.43813797005151905,0.4363715152390582,10d,4650,1160,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_lag1,1
Random_Forest,Config_Hybrid,0.4810344827586207,0.4153543307086614,0.40891472868217055,0.47380160108024694,0.4597446916076845,0.4738673022292841,10d,4650,1160,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_lag1,1
Logistic_Regression,Config_A,0.5121739130434783,0.45787545787545786,0.4854368932038835,0.5092345153847734,0.49981499885329866,0.5096475804602094,20d,4610,1150,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29,relevant_lag1,1
Random_Forest,Config_A,0.5130434782608696,0.45098039215686275,0.40194174757281553,0.5013642797191535,0.5202935555385675,0.502545676936014,20d,4610,1150,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29,relevant_lag1,1
Logistic_Regression,Config_LLM,0.41739130434782606,0.4108170310701956,0.6932038834951456,0.39222745286114546,0.4652794128889229,0.4434523354483602,20d,4610,1150,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29,relevant_lag1,1
Random_Forest,Config_LLM,0.4652173913043478,0.4269005847953216,0.566990291262136,0.46424472710001297,0.45409525265652473,0.47483372830823334,20d,4610,1150,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29,relevant_lag1,1
Logistic_Regression,Config_Hybrid,0.42782608695652175,0.4190260475651189,0.7184466019417476,0.3999187943498631,0.4506994878067426,0.45528629309685803,20d,4610,1150,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29,relevant_lag1,1
Random_Forest,Config_Hybrid,0.5173913043478261,0.4596774193548387,0.44271844660194176,0.5102361225894524,0.5171928751624494,0.5103356012537268,20d,4610,1150,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29,relevant_lag1,1
Logistic_Regression,Config_A,0.5196581196581197,0.45454545454545453,0.4775828460038986,0.5147220319769501,0.5332348289970656,0.5150471307645064,1d,4685,1170,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25,direct_lag1,1
Random_Forest,Config_A,0.5307692307692308,0.4533678756476684,0.341130604288499,0.5041680207555778,0.5133233048798217,0.5099869155384656,1d,4685,1170,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25,direct_lag1,1
Logistic_Regression,Config_LLM,0.4829059829059829,0.435933147632312,0.6101364522417154,0.48149656565183024,0.49688316851659,0.4968490480386659,1d,4685,1170,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25,direct_lag1,1
Random_Forest,Config_LLM,0.5034188034188034,0.42946058091286304,0.40350877192982454,0.492055070893501,0.4873131162084138,0.492469758872066,1d,4685,1170,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25,direct_lag1,1
Logistic_Regression,Config_Hybrid,0.4897435897435897,0.44,0.6003898635477583,0.48905344423872993,0.5088223687919273,0.5018692087906219,1d,4685,1170,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25,direct_lag1,1
Random_Forest,Config_Hybrid,0.5316239316239316,0.45569620253164556,0.3508771929824561,0.5068971033396501,0.5041493468153726,0.5118160698550027,1d,4685,1170,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25,direct_lag1,1
Logistic_Regression,Config_A,0.49871244635193135,0.4083333333333333,0.3951612903225806,0.48516236046201905,0.47009559284439945,0.48532354501181346,5d,4670,1165,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19,direct_lag1,1
Random_Forest,Config_A,0.5218884120171674,0.4419047619047619,0.46774193548387094,0.5144703772346798,0.5294327715897584,0.5148874101933555,5d,4670,1165,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19,direct_lag1,1
Logistic_Regression,Config_LLM,0.4454935622317597,0.40384615384615385,0.6350806451612904,0.4404135908585297,0.4866495491585901,0.47000669029364966,5d,4670,1165,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19,direct_lag1,1
Random_Forest,Config_LLM,0.46437768240343347,0.4056047197640118,0.5544354838709677,0.464345714235188,0.47188117797386564,0.4760219272867544,5d,4670,1165,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19,direct_lag1,1
Logistic_Regression,Config_Hybrid,0.44377682403433477,0.4054726368159204,0.657258064516129,0.4362061239731142,0.4935839481170741,0.4713794059501422,5d,4670,1165,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19,direct_lag1,1
Random_Forest,Config_Hybrid,0.47296137339055794,0.40166666666666667,0.48588709677419356,0.47110607010611744,0.4768371184724432,0.47463263657842714,5d,4670,1165,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19,direct_lag1,1
Logistic_Regression,Config_A,0.4603448275862069,0.391304347826087,0.38372093023255816,0.4525975533637479,0.4448757763975155,0.4527300303336704,10d,4650,1160,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12,direct_lag1,1
Random_Forest,Config_A,0.4939655172413793,0.43486238532110094,0.45930232558139533,0.4902526502864577,0.5141797871828206,0.490520728008089,10d,4650,1160,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12,direct_lag1,1
Logistic_Regression,Config_LLM,0.42844827586206896,0.41580756013745707,0.7034883720930233,0.4052703495857818,0.4629014396456257,0.455781453127257,10d,4650,1160,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12,direct_lag1,1
Random_Forest,Config_LLM,0.4586206896551724,0.410828025477707,0.5,0.45851767280338707,0.45134274640088595,0.4627329192546584,10d,4650,1160,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12,direct_lag1,1
Logistic_Regression,Config_Hybrid,0.4103448275862069,0.40344827586206894,0.6802325581395349,0.3870797296921494,0.45556177476046034,0.4371659685107612,10d,4650,1160,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12,direct_lag1,1
Random_Forest,Config_Hybrid,0.4689655172413793,0.4007936507936508,0.39147286821705424,0.46111613876319757,0.4607813929414031,0.4612643844190861,10d,4650,1160,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12,direct_lag1,1
Logistic_Regression,Config_A,0.5121739130434783,0.45787545787545786,0.4854368932038835,0.5092345153847734,0.49981499885329866,0.5096475804602094,20d,4610,1150,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29,direct_lag1,1
Random_Forest,Config_A,0.5130434782608696,0.45098039215686275,0.40194174757281553,0.5013642797191535,0.5202935555385675,0.502545676936014,20d,4610,1150,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29,direct_lag1,1
Logistic_Regression,Config_LLM,0.42782608695652175,0.41617819460726846,0.6893203883495146,0.4064986321311146,0.4553474505007262,0.4525342099227888,20d,4610,1150,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29,direct_lag1,1
Random_Forest,Config_LLM,0.4591304347826087,0.415748031496063,0.512621359223301,0.4591304347826087,0.4444629615472823,0.464184695359682,20d,4610,1150,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29,direct_lag1,1
Logistic_Regression,Config_Hybrid,0.4373913043478261,0.4223529411764706,0.6970873786407767,0.41701435819082877,0.4583930892133629,0.4619295160920419,20d,4610,1150,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29,direct_lag1,1
Random_Forest,Config_Hybrid,0.5173913043478261,0.4618320610687023,0.46990291262135925,0.5128528239271123,0.5067762403485971,0.5129042122161914,20d,4610,1150,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29,direct_lag1,1
Logistic_Regression,Config_A,0.5196581196581197,0.45454545454545453,0.4775828460038986,0.5147220319769501,0.5332348289970656,0.5150471307645064,1d,4685,1170,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25,material_lag1,1
Random_Forest,Config_A,0.5307692307692308,0.4533678756476684,0.341130604288499,0.5041680207555778,0.5133233048798217,0.5099869155384656,1d,4685,1170,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25,material_lag1,1
Logistic_Regression,Config_LLM,0.5188034188034188,0.4519230769230769,0.4580896686159844,0.5121140096775795,0.506536296771016,0.5121498571390424,1d,4685,1170,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25,material_lag1,1
Random_Forest,Config_LLM,0.49743589743589745,0.43842364532019706,0.52046783625731,0.4965886040936751,0.4878056378897523,0.4999599455259153,1d,4685,1170,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25,material_lag1,1
Logistic_Regression,Config_Hybrid,0.5230769230769231,0.46467817896389324,0.5769980506822612,0.5229375228352211,0.5307039796345252,0.5289860877460012,1d,4685,1170,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25,material_lag1,1
Random_Forest,Config_Hybrid,0.5401709401709401,0.4731182795698925,0.42884990253411304,0.5274452041836707,0.533466254847333,0.5279713744025207,1d,4685,1170,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25,material_lag1,1
Logistic_Regression,Config_A,0.49871244635193135,0.4083333333333333,0.3951612903225806,0.48516236046201905,0.47009559284439945,0.48532354501181346,5d,4670,1165,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19,material_lag1,1
Random_Forest,Config_A,0.5218884120171674,0.4419047619047619,0.46774193548387094,0.5144703772346798,0.5294327715897584,0.5148874101933555,5d,4670,1165,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19,material_lag1,1
Logistic_Regression,Config_LLM,0.5339055793991416,0.4481236203090508,0.4092741935483871,0.5173127092125633,0.5336729712136553,0.5177910579102174,5d,4670,1165,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19,material_lag1,1
Random_Forest,Config_LLM,0.47725321888412015,0.40439932318104904,0.48185483870967744,0.4748993628348189,0.483134131346738,0.4778481966343604,5d,4670,1165,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19,material_lag1,1
Logistic_Regression,Config_Hybrid,0.45064377682403434,0.39123867069486407,0.5221774193548387,0.45062394265740036,0.4849347847051449,0.4598928950286899,5d,4670,1165,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19,material_lag1,1
